ORIG_PRODUCT_DESCRIPTION,PRICE,Num_of_Items
Med BR Crm S,2.29,2
Med BanT Crm,2.99,2
Med CrmLime,3.79,2
Med Frz Wld,2.59,2
Med GrMnt Ca,0.0,2
Med GrMnt Fr,0.0,2
Med Pin Col,2.29,2
Med PolyP Cr,2.99,2
Med Strwbry,1.89,2
Med Stw Blu,4.09,2
Miami Sunris,0.1,2
Mini CrmLemo,1.99,2
Mini CrmlCoc,3.19,2
Mini Custard,0.0,2
Mini Dt Grn,0.99,2
Mini Dt Stw,0.99,2
Mini PB Crm,3.19,2
Mini PBC Pie,2.49,2
Mini PBOreoP,3.19,2
Mini Pom Jui,0.0,2
Mini Rasp Te,0.99,2
Mn IceCoff F,1.49,2
Mozsk 1.99,-0.9,2
Mozz 1.29,0.0,2
PB Oreo Pret,0.2,2
PC Splenda,0.0,2
Pickle O,0.0,2
Poppy 10 in,0.0,2
Ranch Season,0.5,2
Reload Gift,0.0,2
Rt BlckChry,2.79,2
Rt FrzBcClbT,3.19,2
Rt FrzWbClbT,3.19,2
Rt Mang Marg,2.89,2
Rt Van Sl,2.89,2
Sm Blkbry Sp,1.19,2
Sm Custard S,0.0,2
Sm Energy Ze,1.89,2
Sm GrpCrm So,1.59,2
Sm NGrp Crm,2.89,2
Sm Nerd Crm,2.79,2
Sm PB&J Shk,3.49,2
Sm PBChp Cls,3.99,2
Sm Pmpkn Pie,3.99,2
Sm PomHib Te,1.19,2
Sm Pwrade Cr,2.99,2
Sm Van Sl,1.19,2
Snk Pop 1.99,0.0,2
Sour Green A,0.1,2
Spicy Chk,1.0,2
Split 1.99,0.0,2
Sunberry,0.1,2
Tot Disc,-1.89,2
$1 Off BrkBr,0.0,1
.99 Iced Cof,-1.5,1
299CB&DRK,-3.19,1
3pc 1.50,0.0,1
50% WC,-1.0,1
BKTst/TT1.99,-3.19,1
BLT .99,0.0,1
BW PnapHab24,-5.88,1
Bac Chz Toas,3.99,1
Bell Peppers,0.0,1
Bourbon BBQ,0.0,1
Brg/Shk 2.99,-4.29,1
Brk Br 1.50,0.0,1
Burg/TT3.49,0.0,1
Buttery Crum,0.0,1
Chk Dinner 3,0.0,1
FREE BBCOF,-4.28,1
Fm GrChilChz,5.19,1
Fm JPC BBQ,7.99,1
Free Coffee,-2.49,1
FreeSMFry/TT,-1.19,1
HBBQRnch (12,11.79,1
Jr BCB 1.49,0.0,1
Jr DCB .99,-6.5,1
Lg BR Crm So,2.69,1
Lg Ched R Bi,3.19,1
Lg Choc Sl,2.69,1
Lg ChocHaz S,4.99,1
Lg ChocOreo,5.79,1
Lg FrzWbClbT,2.99,1
Lg Mang Marg,2.69,1
Lg NWtM Crm,4.29,1
Lg Pmpkn Pie,5.79,1
Lg PnApCrm S,2.69,1
Lg PomHCrmLi,0.0,1
Lg R BR Crm,4.39,1
Lg RGrp Crm,4.39,1
Lg Rnbw Crm,4.39,1
Lg Salt Car,4.49,1
Lg Sltd Marg,2.69,1
Lg Strawberr,0.0,1
Lg StrwCrmLi,0.0,1
Lg Stw Brz S,2.59,1
Lg Wldbrry T,2.49,1
Md Coke Floa,3.19,1
Md DrPep Flo,3.19,1
Med Ban Tfy,1.99,1
Med Blue Haw,2.29,1
Med FrzWbClb,2.59,1
Med GrApCrm,2.29,1
Med GrMnt Ch,0.0,1
Med Italian,1.89,1
Med Jal Choc,4.09,1
Med KonaCove,2.09,1
Med Mang Mar,2.29,1
Med NGrA Crm,3.29,1
Med PB Pral,4.09,1
Med Pch Nave,2.29,1
Med Pom Juic,2.19,1
Med Rnbw Crm,3.39,1
Med Stw Brz,1.99,1
Med Sundrop,1.89,1
Med Vitam wa,1.89,1
Med WtmlCrm,2.29,1
Mini BCocoPo,1.49,1
Mini Bkbry S,0.99,1
Mini ChocHaz,2.49,1
Mini ChocOre,3.19,1
Mini DrkChcC,3.19,1
Mini Engy Br,1.99,1
Mini Fanta S,0.99,1
Mini Java Ch,2.29,1
Mini Lmn Crm,1.99,1
Mini Mello Y,1.0,1
Mini NBR Crm,1.99,1
Mini Peach R,1.29,1
Mini RaspCrm,1.99,1
Mini SltCarP,3.19,1
Mini Sonic S,0.89,1
Mini Stw Brz,0.99,1
Mini Sunrise,1.19,1
MiniFrzClubH,1.59,1
MiniFrzTeaPo,0.99,1
Mn Barqs Flo,2.19,1
Mn Pmpkn Pie,3.19,1
Mozz 2.49,0.0,1
No Apples,0.0,1
PB PtChp Car,0.2,1
Polynesian P,0.1,1
Potato Bun,0.0,1
Rt Atm Lem S,2.49,1
Rt BR Crm So,2.99,1
Rt Ban CPie,0.0,1
Rt Choc Malt,0.0,1
Rt Choc Stw,0.0,1
Rt Frz Wld L,3.19,1
Rt Hot Fudge,0.0,1
Rt PB Fdg Sh,0.0,1
Rt Peach Rin,2.79,1
Rt Pin Col S,2.79,1
Rt Shake,0.0,1
Rt Sonic Ene,3.19,1
Rt Strw Daq,2.89,1
Rt Strwbry T,2.79,1
Rt Stw Ban S,0.0,1
Rt Stw Brz S,2.79,1
SSBCB 5.99,0.0,1
SSCB/TT 3.99,0.0,1
Shake 1.29,0.0,1
Sm ChocHaz S,3.49,1
Sm Coton Sl,1.19,1
Sm CrmLime S,2.99,1
Sm Crml BP S,3.49,1
Sm Frz BC Le,1.59,1
Sm Frz Wld L,1.59,1
Sm FrzTea Wl,1.59,1
Sm JPC BBQ,3.69,1
Sm JPC Par,3.69,1
Sm JPC Sri,3.69,1
Sm Jal Choc,3.49,1
Sm Mango Lim,1.19,1
Sm NBR Crm S,2.89,1
Sm NChy Crm,2.79,1
Sm PB&Bac Sh,3.49,1
Sm Peach Rng,1.19,1
Sm Pickle O,1.59,1
Sm Pinap Crm,2.99,1
Sm PolyP Crm,2.49,1
Sm Salt Car,2.99,1
Sm Stw Blu S,3.49,1
Sm Stw Brz S,1.19,1
Sm Van Blu S,3.49,1
Sundae .99,-1.2,1
Sweet Tot,3.79,1
Tst/LgDrk299,0.0,1
Wildberry Te,0.0,1
