ORIG_PRODUCT_DESCRIPTION,PRICE,Num_of_Items
BW Buff 12 C,0.0,1127
Grl AsiagoCl,5.99,1125
Med Cran Lim,1.99,1122
Sm Snickers,3.59,1122
WC Snick Car,2.99,1120
CB&OR 2.99,2.99,1104
Famliy Pop C,7.59,1104
Pick 2 Combo,0.0,1101
Mini Oreo Bl,2.89,1094
Rt Blue Rsp,2.89,1090
Bacon CC Cny,3.99,1089
Fm Tater Tot,3.99,1081
Med Jolly Gr,2.59,1080
Lg Powerade,2.49,1073
Med Pnapp Sh,3.89,1066
PC Ketchup,0.0,1062
BcChz Pretz,2.89,1053
Fries,0.0,1052
Crml Sundae,2.19,1045
M&M,0.5,1039
50% Shk ADay,-0.95,1038
Lg Oreo Bl,5.29,1037
Bottle Water,1.69,1036
Apple Sauce,0.99,1028
Lg Cran Lime,2.79,1027
Lg Nerd BR S,3.19,1027
Med Oreo PB,4.09,1027
Med Turtle B,4.79,1026
Rt Wtrmln Sl,2.89,1001
Sm Shake,2.89,996
Lg OreoChzCk,4.99,995
Sm M&M Bl,3.59,994
Sundae,2.19,994
Mn Tater Tot,0.79,993
Sm PB Shk,2.99,984
Marinara,0.0,983
Sm Grn App S,1.19,973
Lg Frz Chry,2.99,972
Lg Stw Crm S,4.59,968
$1 RCC,-0.99,965
Bun,0.0,950
Sm CDgh Brn,3.99,947
Lg Jolly BR,3.19,940
BW Asian (12,9.19,939
Lg PB Shk,4.59,930
Med Frz Stw,2.59,927
Sm Nerd BR S,1.49,925
Lg Sprite Ze,2.49,918
Sm Choc Malt,2.99,905
Choc Sundae,2.19,902
Lg Cranberry,2.69,901
Ult Mt Chz B,-0.28,899
Sm Dt Coke,1.19,894
Banana Split,3.19,891
Sm Oreo Choc,3.49,884
Lg Orange Sl,2.69,883
Sm Jolly BR,1.49,881
Sm Crml Shk,2.99,879
Sm Ban Splt,3.99,878
Med Lmn Frt,2.29,874
Sm Stw Limea,1.19,872
Powerade,0.1,868
Sm Hot Fudge,2.99,867
Sm Ban CPie,3.49,866
Molt Ck Turt,4.29,862
Rt LmnbryFrt,2.89,857
Mn ChiliChz,1.59,853
MedSlush .79,0.0,851
BW Chk Wng 1,9.19,850
Lg Fanta Ora,2.49,850
PC Mustard,0.0,847
Med Sprite Z,1.89,840
Med BlCocoCr,3.89,837
Sm Rnbw BR S,1.49,828
Rt Bl Coco S,2.89,826
Sm Btrfngr B,3.59,820
Med Cup Wate,0.1,817
Mini Slush,2.49,814
Med PB CDgh,4.79,811
Sm Stw Crm S,2.99,809
Sm Jolly Chy,1.49,806
Lg Nerds Sl,3.09,805
Sm Coco CPie,3.49,804
Lg Reeses Bl,5.29,800
Lg Shake,4.49,792
Lg Ban CPie,4.99,789
Med Pop GrnA,2.59,785
Lg Choc Malt,4.59,784
WC Reese Cho,2.99,783
Item % Disc,-0.01,780
Lg Lime Frt,2.69,776
Shrd Chz,0.6,774
Ham,1.0,771
Rt Grape Sl,2.89,771
Sm Stw Ban S,3.49,769
Mini Chry Li,0.99,768
Med PB Fdg S,4.09,764
Lg Nerd Chy,3.19,763
Fm ChiliChz,5.19,762
Mini Vanilla,1.99,761
Sm Nerd Chy,1.49,761
Lg HiC Punch,2.49,758
Lg Jolly Chy,3.19,751
Lg Rnbw BR S,3.19,745
Stk Egg Br C,0.0,744
LIL CC Doggi,1.49,742
NY Dog Cmb,-0.08,735
Lg Frz Stw L,2.99,734
Lg Mt Blast,2.69,733
Sm WaffBerry,3.99,728
Mini Lemonad,1.49,718
Med Nerd Wtr,2.59,717
Rt Dt Green,2.79,716
Lg Stw Ban S,4.99,711
Grill Onion,0.3,710
Med Frz Chr,2.59,707
Lg Chry Crm,4.59,705
Mini Ocean W,0.99,705
1/2 Cone&WCS,-0.5,703
Caramel Funn,0.5,702
Rt Frz Limea,3.19,699
Sm Chz Tots,1.79,697
Butterfinger,0.5,695
Lg Pop Chk C,0.0,693
Med Bourbon,4.09,691
Med Chz Frie,2.49,691
Sm OreoChzCk,3.49,688
Lg Dt Green,2.49,684
Sm Popping S,1.39,682
Lg Oran Crm,4.59,680
Med Rnbw Chy,2.59,679
Jr Chz Brg,1.79,677
Med Blast,4.29,677
Lg Lmn Frt S,2.69,674
Med WdbyLav,4.09,672
Mini Reeses,2.89,668
Molt Ck StrB,4.29,668
Sm Root Beer,1.19,668
BW HotHoney,17.79,659
Rt Cran Lime,2.99,658
Lg Hot Fudge,4.59,657
Md SnckrCrml,5.09,654
Lg Dt Limead,2.79,652
Lg Oreo Choc,4.99,652
Coke,0.1,646
Lil Brk Grl,1.49,644
Pecans,0.69,642
Lg Float,4.29,638
Ld BacRan CC,3.99,637
Med Dt Limea,1.99,637
Mini Dr Pepp,1.0,635
FmChed R Pep,8.09,634
Sm Turtle Bl,3.99,633
Md ReesesBan,5.09,631
Med BluR Crm,3.89,620
Med Rainbow,2.49,619
Sm Sweet Tea,1.19,618
Sm Limeade,1.19,617
Croiss Dbl C,3.49,610
Med Car Brwn,4.79,610
Sm Pnapp Frt,1.29,608
Amer Dog Cmb,0.0,607
Lg ChzCk Shk,4.99,607
Lg Crml Shk,4.59,602
Mini M&M Bl,2.89,602
Med Nerd GrA,2.59,600
BW Chk Wng 6,4.79,598
$5 Chk Din,-0.79,596
Md OreoDkCh,5.09,595
BW Chk 12 Cm,-0.09,591
BW Buff 6 Cm,0.0,587
BW HnyBBQ 12,0.0,584
Med Brn Blss,4.79,584
Sm Orange Sl,1.19,580
Tot,1.89,578
LIL CLCK,1.49,576
Med Mango Sl,2.09,576
Lg Coffee,1.89,573
WC MM Strawb,2.99,573
Lg Oreo PB S,4.99,572
Rt Dt Limead,2.99,567
Med Grp Crm,3.89,566
Rt Grn App S,2.89,566
Hot Dog Day,-0.69,565
Rt Sprite Ze,2.79,564
Free Md Drnk,-0.1,563
Sm Pnapple S,2.99,562
Med Frz Frt,2.59,553
Spcy Bac CC,3.99,549
Cinnasnack C,-0.19,548
Med Rnbw GrA,2.59,548
Sm Oran Crm,2.99,542
Lg Coco CPie,4.99,541
Lg Popping S,3.09,539
Med Cok Dgh,3.89,539
Lg Jolly Slu,3.09,536
Chk Strp (4),-0.47,534
Lg Cook Dgh,5.79,534
Sm Float,2.59,534
Med VanBean,4.09,531
Sm Oreo PB S,3.49,528
Med PB Snick,4.79,519
Mini Grape S,2.59,519
Rt Cranberry,2.89,517
Sm Crm Sl,2.89,517
Lg Frz Chr L,2.99,515
Lg Snickers,5.29,514
Rt Frz Chry,3.19,513
Well Done,0.0,513
Sm PB CDgh B,3.99,512
Lg Crm Sl,4.49,511
Lil Grl Chee,0.79,502
50% Shake,0.0,500
Lil Grl Beef,1.49,500
Lg Jolly GrA,3.19,492
Sm Chry Crm,2.99,491
Sm Frz Limea,1.59,491
Mini Wtrmln,0.99,490
Mini Root Be,1.0,489
Fm Onion Rin,5.29,484
Lil Grl Chic,1.49,483
Ult Chk Cls,5.99,483
Zesty Chz,0.0,482
Mini Oreo Sh,2.49,478
Lg CDgh Brn,5.79,475
Med Trip Cho,4.79,471
Lg Opt Prime,2.69,467
Sm Jolly Sl,1.39,462
Sm Lmnbry Fr,1.29,461
Med BToffee,4.09,459
Sm Nerds Sl,1.39,459
Mini Snicker,2.89,458
Rt Pnapp Frt,2.89,458
Med Rnbw Wtr,2.59,456
Rt Powerade,2.79,455
Sm OJ,1.79,455
Md IceCoff F,2.49,453
Sauerkraut,1.0,453
LIL BFCK,1.49,449
Med Dulce Sh,4.09,445
.50 CD 5-Cl,-0.99,444
Mini Cook Dg,3.19,441
Lg BlCoco Cr,4.59,439
"6"" Plain HD",0.0,438
Real Crm,0.3,437
Md HeathVan,5.09,435
Med DrkChoc,4.09,435
Ult Chk Trd,5.99,435
Med Bumble B,2.29,433
Sm Jol GrnA,1.49,431
1/2 Buff Sau,0.0,430
Mini Stw Frt,1.29,429
$1 Hot Dog,0.0,427
Sm Rnbw Chy,1.49,424
"12"" Chicago",4.29,422
Mini Nerds S,4.29,421
Rt Lime Frt,2.89,420
Sm Unswt Tea,1.19,420
Lg PB Fdg Sh,4.99,417
Lg WaffBerry,5.79,415
Rt Mt Blast,2.89,411
Mini Grn App,0.99,409
4oz Patty,1.0,408
Chocolate Fu,0.5,407
Lg Pnapple S,4.59,403
Med Megatron,2.29,403
Sm Mt Blast,1.19,401
Rt Orange Sl,2.89,399
Sm OreoDkCh,4.29,398
Md BtfngrPB,5.09,395
1/2 Wings,-1.76,394
Sm HiC Punch,1.19,393
Lg Chz Fries,2.99,389
Side of Jala,0.6,389
Dr Pepper,0.1,388
Blue Hawaiia,0.3,387
"12"" Amer Dog",3.99,385
Fm Tots,3.99,384
Tu 1/2$ Burg,-2.2,382
Malt,0.5,381
Rt Lmn Frt S,2.89,381
Hny BBQ Sauc,0.0,380
Sm PB Fdg Sh,3.49,380
PB Funnel,0.5,379
Sm ReesesBan,4.29,378
Mini Banana,1.99,377
Sm SnckrCrml,4.29,375
1/2 Hny BBQ,0.0,374
Med Nerd Grp,2.59,374
Pina Colada,0.3,372
Mini StwCzCk,2.49,370
Lg BluR Crm,4.59,369
Med Stw Malt,3.89,369
Rt Nerd BR S,3.39,369
Gravy,0.5,368
Mn Fries,0.79,368
"12"" NY Dog",3.99,364
Free Slush,0.0,363
Lg Nerd Wtr,3.19,363
BW HnyBBQ 6,-0.08,362
Fm Fries,3.99,360
Total % Disc,-0.39,359
Sm Brn Blss,3.99,357
BW Asian 12,-0.29,355
Sm WdbyLav S,3.49,355
Rt Nerds Sl,3.29,353
SEC Br Cmb,-0.59,352
Mini Bl Coco,2.59,349
Sm Car Brwn,3.99,349
Sm CrmSl .79,-2.1,348
Sm Fanta Ora,1.19,347
Med Dt Green,1.89,345
Med Iced Cof,2.49,342
Sm Frz Chry,1.59,342
Sm BlCoco Cr,2.99,341
Pnapp Sundae,2.19,340
Side Gravy,1.0,340
Med WtrmlnCr,3.89,338
Vanilla Crm,0.5,338
Lg Grp Crm S,4.59,337
Rt Frz Stw L,3.19,337
1/2 Asian Sa,0.0,336
OJ,0.1,336
Lg Frz Frt L,2.89,334
Burger Cmb,-0.28,333
Ciabatta,0.6,332
Sm HeathVan,4.29,332
Sm Pop GrnA,1.49,332
Ult FieryChk,6.49,332
Med Bday Ck,4.09,331
Mn Tots,0.79,331
Pretz Dog,2.29,330
Sm Bourbon S,3.49,330
Mini Btrfngr,2.89,328
Buffalo Sauc,0.0,327
Real Banana,0.5,326
10am1.49Lem,-0.1,324
BOGO Burger,0.0,322
Crispy Chk C,-0.12,320
Lg PB CDgh B,5.79,319
Md M&M Strw,5.09,319
Sm Lime Frt,1.29,317
Lg Btrfngr B,5.29,316
Lg Ban Splt,5.79,315
Lg Rnbw GrA,3.19,315
Lg Rnbw Chy,3.19,311
Mini Jolly S,2.59,311
Mini Fanta O,1.0,308
Spicy Must,0.0,308
Jr Dlx CB.79,-0.37,307
Lg Nerd GrA,3.19,307
BEC Br Cmb,-0.19,306
Med Cran,2.19,305
BLT Cmb,-0.59,304
Lg Bourbon S,4.99,304
No Rind,0.0,303
Med StwShCk,4.09,301
Rt Dt Stw Li,2.99,301
Med Fresh Fr,2.29,300
Sm Cranberry,1.19,300
Pineapple,0.5,299
Lg M&M Bl,5.29,298
FmChiliChz F,5.19,296
Lg Pop GrnA,3.19,292
Green Mnt Co,1.89,290
Lg Turtle Bl,5.79,289
Md CookDgh C,5.09,289
Sm Opt Prime,1.49,288
Sm Trip Choc,3.99,287
WP 1.99,0.0,286
Mini CDgh Br,3.19,285
Fr Vanilla,0.1,284
BW PnapHab (,4.79,283
Caramel,0.1,281
Med Peach Sl,2.09,278
Fanta Orange,0.1,276
Lg WdbyLav S,4.99,275
Lg IceCoff F,2.99,273
Tx Toast,1.0,273
LIL KMST Dog,1.49,272
Peachy Navel,0.3,271
Rt Jolly BR,3.39,270
Mini Shake,1.89,268
Strw Mang Ma,0.3,268
Sm PB Snick,3.99,267
Mini OreoChz,2.49,266
Sm BToffee S,3.49,266
Sm Lmn Frt S,1.29,264
Bacon TrpChz,3.49,263
Lg Rnbw Wtr,3.19,263
Strw Daiquir,0.3,263
LIL Bac Ran,1.49,261
Med Rnbw Grp,2.59,261
Sm Grp Crm S,2.99,260
Sm Rnbw GrnA,1.49,260
Rt Rnbw BR S,3.39,259
Sm Nerd GrnA,1.49,258
Mini PB Shk,1.99,256
Med PopBlCoc,2.59,255
Rt Fanta Ora,2.79,254
Med Malt,3.79,253
Sm VanBean S,3.49,253
Sm BluR Crm,2.99,251
Mini Crml Sh,1.99,250
Mini Sweet T,1.0,249
Sm Nerd Wtr,1.49,248
StwSht Ck Wa,2.99,248
Sport Peps,1.0,247
Med Powade S,2.19,246
Caesar,0.0,243
Lg DrkChoc S,4.99,243
"HH $1 6"" RCC",-0.99,242
Med Java Chi,3.19,241
Sm Cok Dgh S,2.99,241
Sm Dt Dr Pep,1.19,240
Lg Mango Slu,2.59,239
.50 Grl Chz,0.0,238
Lg BToffee S,4.99,238
Activate Gif,0.0,237
LIL BBQBAC,1.49,237
Jr Dlx CB.89,-0.6,234
Mango Margar,0.3,234
Rt Popping S,3.29,234
Lg Rainbow S,3.09,233
Sm M&M Strw,4.29,233
No Mayo,0.0,232
Rt44 Dr .99,-1.4,231
Lg Dt Stw Li,2.79,228
Rt HiC Punch,2.79,227
Free Burger,-1.79,226
Rt Nerd Chy,3.39,225
Sm Vanilla M,2.99,219
Rt Frz Chr L,3.19,218
Rasp Tea,0.0,216
Sm BtfngrPB,4.29,216
Sm Dt Chry L,1.19,216
Sm Powerade,1.19,216
Mini HotFdge,1.99,215
Mini Orange,0.99,215
Rt Frz Frt L,3.19,215
Med PopGrape,2.59,214
Mini Oreo Ch,2.49,214
Lg Dr .99,0.0,213
Onion Ring,0.75,213
Onion Rings,0.6,213
Med Tea,1.89,211
Sm DrkChoc S,3.49,211
Cut In Half,0.0,210
Rt Jolly Chy,3.39,210
AD LgDr.99,-0.9,209
Rt Jolly Sl,3.29,209
$5Chk Dinner,5.0,207
Oreo Chocola,0.5,207
Sm Dulce Shk,3.49,207
Lg VanBean S,4.99,206
Sm Green Tea,1.19,205
